ID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15
1150,3,3,2,4,5,4,2,2,2,4,4,3,3,5,5
1151,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
1152,3,3,1,2,3,2,2,3,2,5,3,3,4,2,5
1153,1,1,1,1,1,1,1,1,1,1,4,1,1,1,5
1154,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5
1155,5,4,2,5,5,5,4,3,3,5,5,3,4,5,5
1156,3,4,4,2,4,2,3,2,4,2,2,3,2,2,3
1157,3,4,1,3,4,5,5,1,2,4,4,5,1,4,5
1158,4,3,3,2,4,5,4,4,3,5,5,3,4,5,5
1159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,5,4,4,4,5,5,5,4,5,5,5,4,3,5,5
1160,5,5,1,4,3,4,5,1,1,5,4,5,1,5,5
1161,4,2,1,2,4,4,4,1,5,5,4,4,1,2,5
1162,1,2,1,1,2,1,1,1,1,2,1,1,1,1,3
1163,5,5,3,4,4,5,4,3,3,4,5,5,3,5,5
1165,4,3,4,2,4,4,4,4,4,2,4,2,2,2,4
1166,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1167,1,1,1,1,1,1,3,1,4,4,3,2,1,3,5
1168,5,5,2,4,4,4,1,3,3,4,4,2,1,4,5
1169,1,3,4,2,5,1,4,5,3,2,1,3,2,3,4
117,5,4,4,5,5,5,5,4,5,4,5,4,2,4,5
1170,4,2,4,2,4,3,2,4,2,2,2,3,3,3,5
1171,5,4,5,4,5,2,5,5,2,5,5,4,2,5,5
1172,5,4,1,1,4,2,2,1,1,1,5,4,1,2,5
1173,4,5,1,3,4,4,4,2,1,4,2,2,1,1,4
1174,2,1,1,4,3,2,1,1,2,3,1,1,1,2,3
1175,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5
1176,1,2,1,1,2,2,1,1,1,3,3,2,1,2,5
1177,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5
1178,2,4,2,4,4,4,2,2,4,5,2,4,2,4,4
1179,1,1,1,1,1,5,3,1,1,1,1,2,1,5,5
118,4,1,1,1,1,1,1,1,1,4,1,1,1,1,4
1180,5,1,1,1,1,1,1,5,1,5,1,1,1,5,1
1181,5,4,4,4,3,3,3,5,2,5,3,3,1,2,3
1183,5,4,1,4,4,4,2,3,2,5,4,2,2,5,5
1184,4,5,5,4,5,5,2,5,5,5,4,5,5,5,1
1185,3,5,5,5,5,5,5,1,5,5,5,5,5,5,1
1186,4,3,1,3,5,3,3,1,4,4,4,3,1,4,5
1187,2,1,1,1,2,1,1,1,1,2,2,1,1,1,3
1188,1,5,1,1,5,1,1,1,1,3,1,1,1,1,5
1189,5,1,1,2,5,1,1,3,2,5,4,1,3,5,5
119,3,2,4,3,4,2,3,5,1,3,3,2,4,3,5
1190,1,1,2,1,2,2,1,4,3,3,4,1,2,1,4
1191,4,1,1,2,2,4,1,1,1,1,3,1,1,2,4
1193,4,4,2,2,2,4,4,3,4,4,3,4,2,3,3
1194,4,4,1,1,5,5,2,3,2,4,3,2,1,1,5
1195,4,3,3,3,4,1,3,3,3,4,4,2,3,3,5
1196,4,4,5,4,2,2,4,5,3,5,5,4,5,4,5
1197,4,2,1,2,4,3,1,1,1,2,2,2,1,2,4
1198,2,4,1,2,3,3,4,1,4,2,3,3,1,3,4
1199,4,4,3,4,5,3,2,3,2,4,4,2,2,2,4
12,4,4,1,3,4,2,4,1,1,4,4,1,1,4,4
120,5,5,2,4,4,5,4,3,1,1,4,5,1,5,5
1200,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
1201,3,2,1,2,2,2,1,1,3,5,4,2,1,1,5
1202,4,4,3,4,5,3,4,3,3,5,4,4,3,3,5
1203,5,5,1,5,5,5,5,1,5,4,5,5,1,5,5
1204,3,5,1,3,5,3,5,1,2,5,4,4,4,2,5
1205,5,2,1,2,2,2,2,1,2,3,3,2,1,3,5
1206,5,1,1,3,1,2,1,1,1,1,3,1,1,4,5
1207,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1
1208,3,4,3,5,5,5,5,3,3,4,4,5,5,3,5
1209,1,1,1,1,2,1,3,1,1,3,1,1,1,2,5
1210,4,4,4,4,4,4,4,5,4,5,4,4,4,2,4
1211,5,2,5,1,5,5,4,5,5,3,5,1,5,1,5
1212,4,5,4,5,5,5,5,3,5,5,4,5,3,5,5
1213,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4
1214,1,1,1,1,2,1,2,1,1,2,1,1,1,1,5
1215,4,3,3,3,3,2,3,2,2,3,3,3,2,4,4
1216,1,1,1,1,2,1,1,1,2,2,2,2,1,2,4
1218,3,1,3,1,4,3,2,3,1,4,2,1,1,1,3
1219,4,4,1,1,1,4,2,1,4,4,2,2,1,1,4
122,4,4,1,4,4,3,2,2,2,4,2,2,2,4,4
1220,3,3,3,4,5,3,2,5,4,2,3,2,5,4,5
1221,4,1,5,4,4,1,1,5,1,1,5,1,4,1,5
1222,1,2,1,2,2,1,2,2,1,4,1,1,1,1,4
1223,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1224,4,5,1,4,4,3,5,1,1,4,5,4,1,4,5
1225,4,4,1,4,4,4,5,1,3,4,5,4,1,4,5
1226,1,3,1,1,4,1,1,1,1,4,3,1,1,1,3
1227,5,2,1,4,5,4,1,2,1,5,5,1,1,3,5
1228,4,4,2,2,3,4,2,2,3,3,4,5,3,3,4
1229,5,5,5,5,5,5,5,5,4,3,5,5,3,5,5
1230,3,5,3,5,5,5,5,3,5,3,5,3,3,5,5
1231,4,3,3,3,3,4,2,3,2,4,3,2,3,2,5
1232,5,5,1,5,4,4,3,1,3,3,5,4,1,5,5
1233,5,5,3,4,5,5,5,4,2,5,5,5,4,4,5
1234,5,3,1,2,4,4,2,1,1,3,3,1,1,2,4
1235,2,4,3,3,4,3,4,3,2,3,4,3,2,4,4
1236,3,3,2,4,5,2,4,2,5,4,3,5,2,3,4
1237,4,2,1,2,1,2,1,1,2,4,4,1,1,2,3
1238,5,3,1,3,5,5,3,1,2,5,4,5,1,1,5
1239,4,1,1,1,1,1,1,1,1,2,4,1,1,5,5
124,4,4,2,2,3,2,4,3,3,4,4,4,2,4,2
1240,5,5,3,4,5,5,5,4,4,5,5,5,3,5,5
1241,4,5,3,3,3,3,3,4,1,5,3,5,3,2,4
1242,5,2,1,1,1,2,1,1,1,4,4,1,1,1,5
1243,5,1,1,1,1,1,1,1,1,5,1,1,1,1,5
1244,5,5,2,4,4,5,5,3,4,3,4,5,2,4,5
1245,2,1,1,1,1,1,1,1,1,3,2,1,1,1,3
1246,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1247,5,2,5,4,5,5,1,5,1,5,5,1,5,5,5
1248,1,1,1,1,2,1,2,1,1,4,2,2,1,2,4
1249,1,1,4,4,1,1,1,4,1,4,1,1,1,1,4
125,4,4,1,2,5,2,4,1,1,2,4,4,1,5,5
1250,3,4,1,1,4,3,3,1,1,5,3,3,1,2,5
1251,3,5,1,3,3,3,4,3,3,3,3,4,1,1,5
1252,5,4,3,3,1,5,3,5,4,4,5,3,4,2,5
1253,2,4,3,2,3,4,3,3,1,3,5,5,3,4,5
1254,2,2,3,1,4,4,3,4,4,4,3,1,3,4,5
1255,5,4,5,1,5,3,5,5,4,5,4,5,5,3,5
1256,5,2,1,1,4,3,2,1,1,5,2,4,1,2,5
1257,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5
1258,1,2,1,5,5,4,4,1,1,5,1,1,1,5,5
1259,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4
126,1,1,1,3,1,1,1,1,1,5,4,1,1,1,4
1260,4,2,1,2,4,4,3,2,2,4,4,3,2,4,5
1261,5,1,1,1,1,1,1,1,1,1,5,1,1,1,4
1262,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1263,4,2,1,3,4,2,3,1,3,4,5,2,3,5,5
1264,3,2,1,1,1,4,1,1,2,4,2,1,1,1,5
1265,4,1,1,3,1,4,1,1,1,3,4,1,1,1,4
1266,1,1,1,3,1,5,1,1,1,1,1,1,1,1,5
1267,1,2,1,1,1,1,3,1,1,2,1,1,1,1,4
1268,5,1,3,2,1,5,2,3,1,2,5,1,1,3,5
1269,3,5,3,1,3,4,5,5,1,5,3,4,3,5,5
127,5,1,1,1,2,1,2,1,1,5,4,2,1,4,5
